"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"American Samoa","ASM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358.408496","370.527998","375.6562","387.839902","399.843404","418.314406","454.952501","485.916496","522.181692","553.953387","584.648482","614.649387","647.976092","693.814297","720.617202","749.459707","808.61563","867.144654","913.476977","976.4012","1004.970423","1006.705256","1031.904489","1046.077422","1061.010555","1085.816188","1123.550637","1150.138886","1185.478236","1211.480385","1203.631334","","",
"Australia","AUS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490531.2507","491238.7818","492143.4511","494326.0775","500142.7164","508464.1725","508246.9459","515795.8791","544400.7258","581899.3874","606860.8124","635529.9917","630234.9976","550563.2058","608925.6889","571056.9014","613749.9371","617773.4563","590310.8141","605111.9367","589473.4613","690001.8173","690401.593","604285.6676","621420.4289","622092.6414","600642.7642","647518.2719","642275.8577","613604.7013","571903.1199","","",
"Austria","AUT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76630.27662","80905.84478","75090.78012","75015.36331","75088.09018","77571.74658","81297.14214","80328.48276","80294.93242","78470.02491","78694.10972","83001.77734","84500.38127","89432.43453","90322.80678","90356.77091","88152.69679","85204.26989","84953.81617","77767.40594","83550.95772","81738.65126","78292.56689","78909.03381","75143.18762","76429.62374","76780.91177","78699.13623","75582.15688","76622.88544","71017.8287","","",
"Azerbaijan","AZE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75481.47959","73080.70729","82405.52268","61846.42011","42455.36555","41571.85554","36089.3664","35645.76686","36163.14703","36436.20579","38178.85835","37597.10652","37660.28458","40371.75494","40448.12001","43537.95337","45921.96687","45085.84177","49560.73027","45422.99777","44320.75057","46785.0029","49834.23202","51037.92334","52262.55666","52141.63798","52487.77721","51758.38444","53176.47097","56536.8442","55351.99383","","",
"Burundi","BDI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1507.640349","1568.833158","1563.647567","1545.279176","1442.494285","1491.162194","1492.285426","1540.330358","1566.03269","1602.522949","1659.560708","1639.972123","1629.591737","1616.499052","1675.793567","1734.091681","1880.290385","1952.851988","2084.470392","2234.548495","2560.792699","2782.874151","2863.239604","3244.959156","3242.800609","3247.309761","3668.841788","4289.286314","4518.56764","4215.238066","4102.678292","","",
"Belgium","BEL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130784.8565","135699.4541","133745.9789","131548.6404","136905.9888","137069.9908","142423.0189","139239.0696","142002.2624","138153.18","138266.4483","138694.356","131373.8147","134760.5446","132641.1624","129912.637","125999.4899","121215.719","123934.9372","117422.2366","124908.4666","113152.4764","111928.5141","112869.6307","106749.5809","111403.0469","110335.3227","108193.7955","108952.4335","108086.3373","100063.4878","","",
"Benin","BEN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4047.791367","4152.957092","4236.927917","4284.171642","4547.052866","4340.010491","5838.4686","6303.180909","6533.941518","6542.238627","7029.108436","6504.47734","7531.983943","7495.345947","7588.95435","8615.392754","8910.462058","9650.516163","9403.691268","10032.58657","10475.73048","10546.27121","10526.28664","11162.52237","11694.9976","12117.32083","13818.34967","13973.67292","15267.36586","15622.04121","16190.53196","","",
"Burkina Faso","BFA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11113.27877","11535.40297","11821.54597","12057.36687","12503.10978","12867.79108","13529.87884","14203.98261","14412.15497","14806.62224","15984.91011","15108.11122","15786.33044","19200.72446","19733.29397","20342.01529","20345.07862","21063.13735","21860.06998","22511.04811","23651.63864","24068.02382","24747.608","25741.05329","26220.72587","27368.07335","28836.31118","29792.21891","30655.18984","31636.78727","32262.81629","","",
"Bangladesh","BGD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91841.25556","92040.68457","94104.60178","95468.91619","98031.6061","103119.03","103595.5435","105881.3293","105905.4049","110079.9403","111593.3328","117270.5563","120949.7469","122886.8271","124837.0782","129652.4611","135192.7141","138288.6794","146770.9765","150700.7286","158531.7681","164267.9666","169101.1582","174185.1534","179287.1507","187771.298","195047.4195","205028.6288","214432.3367","212143.1483","206570.3527","","",
"Bulgaria","BGR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98303.01841","81308.04552","75491.15964","74050.99257","70100.64164","71317.41616","71885.37875","68803.1347","65218.4653","58409.91097","57837.64925","60216.94282","57531.37342","62397.58468","61150.52418","61138.03786","61092.05728","65265.2033","62886.92377","55398.35264","57043.54655","62924.95808","57187.08959","52036.53622","54624.01798","57320.00702","54456.29094","56596.72316","53370.25718","51526.03949","46492.85461","","",
"Bahrain","BHR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15950.83482","15591.26618","17788.67223","18782.68798","19235.98034","19948.40219","21196.94787","22198.17836","23956.03524","24540.66822","25623.79391","26452.33222","27655.51593","28717.68894","28963.98535","32238.91256","34713.68845","35914.54384","38404.86883","38946.46292","40906.21441","41607.08671","43195.32451","46013.64861","48106.69701","48874.34031","49459.0278","50342.13908","51257.81097","54194.74915","54151.41004","","",
"Bahamas, The","BHS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2183.995157","2256.471931","2126.914606","2001.046481","2026.671155","2109.49793","2087.94503","1889.77293","2289.107831","2334.514631","2319.424631","2244.630656","2285.785381","2333.605506","2345.104731","2196.805957","2152.810341","2188.303625","2259.49961","2282.180294","2254.796278","2482.016645","2685.184211","3111.966577","2815.829643","2513.101709","2357.871443","2502.934277","3123.026611","2957.747745","2801.144379","","",
"Bosnia and Herzegovina","BIH","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30258.58061","27538.14675","20220.60919","16764.39862","6373.368853","6284.221368","7324.343731","12228.23353","14994.58205","14993.21084","18656.89406","18365.79569","18520.86499","19027.10305","20107.51487","20874.0118","22744.00246","23859.8227","25968.29171","26043.30724","26070.97531","29183.88612","27398.42322","27191.8729","24689.43736","24906.99761","27490.28619","27759.41257","27771.20464","26218.11502","26053.3501","","",
"Belarus","BLR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142017.9433","136780.125","122060.461","109295.1971","96176.95738","88165.42932","88892.90977","89303.99177","87347.71174","84949.16393","82356.8548","80878.21666","80365.02168","81461.13375","85337.90331","86179.88216","89398.13463","88182.57527","92444.42971","89588.69091","94199.51744","91275.39051","92831.39655","93419.06847","92626.09993","88193.48911","87316.84186","88971.77819","91880.30552","90320.04535","87868.32147","","",
"Belize","BLZ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6521.858891","6737.317745","6826.438498","6952.805751","7071.761405","5975.411293","4834.334275","3866.624457","2797.771439","1722.876121","702.732203","786.208167","840.116831","930.381295","761.923658","819.656522","898.636624","1001.135393","1009.355262","1173.361731","1214.451168","1305.203154","1171.634439","1261.360425","1248.729511","1449.138697","1440.882054","1441.651512","1427.523569","1602.171827","1573.319685","","",
"Bermuda","BMU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30871.86234","31994.458","32804.22896","31545.70221","30711.57897","29285.28193","28891.408","30899.10247","30921.74694","31381.30971","31098.26178","30738.13603","33593.95508","34000.25182","36843.05937","38933.7704","39481.57129","41092.33958","42296.10448","43240.46717","48348.32776","48361.77577","50100.33217","52023.63558","52832.12158","54381.51228","56748.87449","56810.3186","56831.15371","58309.83432","55203.08943","","",
"Brazil","BRA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","592496.8304","613616.6556","623606.7786","634997.9434","651869.0688","678651.4692","682100.1397","711142.2472","735531.2444","752889.2603","772340.1186","797202.3857","826208.7209","841524.5657","886635.5393","897371.1788","897365.7002","921597.5082","937153.4104","913687.553","999924.9994","1019415.034","1058598.227","1089193.408","1127554.01","1105478.108","1069581.2","1085923.233","1054181.831","1069918.901","1064709.126","","",
"Barbados","BRB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3128.995934","3163.307404","3127.167574","3111.629744","3204.248614","3235.196917","3284.230036","3380.509756","3460.962509","3543.451862","3533.327615","3558.821433","3539.491551","3583.974669","3629.604287","3665.691605","3694.570334","3723.246463","3991.179991","3979.23662","3874.084949","3926.352478","3896.791006","3885.431835","3740.207364","3742.935393","3783.217854","3693.384915","3796.373576","3710.537737","3656.467698","","",
"Brunei Darussalam","BRN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4729.264158","4938.944706","5241.678553","5672.731101","5968.923549","6347.097696","6545.244584","6968.399471","6207.553659","6295.923746","6699.814634","6638.878913","6677.836192","7704.267571","7306.112151","7151.55293","9892.980627","9390.362924","10245.03222","10020.11202","9331.440616","9571.707577","9531.889438","9316.351699","9190.90146","8467.041421","9101.755241","9558.74396","9852.95828","9392.1572","11914.03262","","",
"Bhutan","BTN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","862.080394","864.032592","850.733089","822.783787","852.104085","949.913383","982.937004","1064.628126","1056.688947","1085.230769","1057.92629","995.328449","1032.881207","998.826165","941.733824","1104.700982","1088.990994","1104.041005","1049.754216","1067.412828","1163.286839","1412.645757","1496.462975","1578.225693","1649.68331","1661.129528","1856.760403","1945.742577","2074.163352","2052.155026","1630.8557","","",
"Botswana","BWA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12787.36293","12196.46453","12435.64723","12088.77213","12323.36373","13220.61381","14572.83308","14160.50625","13801.79392","13835.25978","13640.71335","15523.87065","15862.28235","8736.279155","9318.205556","10725.35266","12545.10506","10799.22417","19528.72697","10454.72718","20889.94268","25747.70982","13041.85436","13990.227","12708.58574","12082.93249","10972.09654","14735.6943","13322.30266","10618.37622","12374.76398","","",
"Central African Republic","CAF","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16649.89732","16963.12132","17013.75702","17058.44311","19558.76201","19687.39341","21911.01245","22090.30719","24127.99393","21797.00358","24760.86522","20937.00352","18690.99393","23801.45033","21187.07724","22225.66634","22367.58146","22737.02708","23876.1998","19336.41262","21491.30474","22795.30024","19909.99414","21095.58984","20639.43834","21002.90194","22699.77251","20981.80529","21510.02287","19869.45835","21016.37573","","",
"Canada","CAN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543049.4519","538980.8853","553364.7517","549384.5687","567481.6251","582560.9432","600567.0436","614964.0066","623218.5876","628407.1136","648194.3571","640276.5974","661256.3395","682672.0184","679689.9625","693709.7211","682555.9105","716335.7077","691864.5229","656853.9465","673672.8602","690328.581","690454.3552","702661.421","710549.609","708799.9174","709180.1212","725612.8229","742232.5371","726904.1199","677709.2227","","",
"Central Europe and the Baltics","CEB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1241992.21012","1144843.45314","1066113.22169","1032400.9929","1004586.30676","1005312.39956","1032183.32851","1003994.64722","946507.13381","898654.22199","890603.24277","900926.74181","882401.24811","913377.09007","914198.9462","915149.49222","933957.75764","941654.72766","921293.61043","855443.80412","881635.8753","881743.45155","852670.11124","824725.18437","804370.50806","815574.40148","827497.59482","854586.80328","846868.48629","810529.91901","762596.50641","","",
"Switzerland","CHE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52841.49768","55060.31154","54986.84868","52627.84071","51755.24125","52684.19741","53300.80025","51846.35099","53403.57246","53536.69996","52787.05705","54393.75669","52761.11121","53998.8257","54495.82612","55215.00962","54932.86427","53006.82379","54631.74468","53186.47335","54762.18135","50649.0865","51951.56435","52977.68781","49167.61866","48392.16573","48900.51827","47920.92857","46682.73407","46475.84007","43987.63547","","",
"Channel Islands","CHI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45415.91931","44280.71904","45875.34577","48556.48231","52620.45798","56313.55247","62856.94279","69923.09482","71022.35765","73894.02818","70030.0334","67899.39687","68527.04914","69252.82561","74639.52957","75236.85374","76544.9087","84293.0117","89031.66989","86662.29099","91817.82978","98241.40312","100676.7049","103897.7388","96490.37495","102210.7159","106621.636","107321.0615","107364.6255","113466.4538","106722.3342","","",
"China","CHN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3238858.656","3386235.935","3515192.811","3744912.203","3904475.172","4307873.902","4328947.13","4324409.747","4442509.102","4375022.621","4567274.433","4759814.089","5053060.571","5724514.257","6489937.932","7263558.578","7942463.982","8551053.498","8805331.438","9380446.702","10211636.79","11089792.42","11374795.58","11861843.52","11940737.42","11804696.79","11773340.79","12014198.87","12524335.16","12732245.13","12942868.34","","",
"Cote d'Ivoire","CIV","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9027.642098","11738.05486","14378.44313","17061.15429","19891.33025","20599.84584","21541.65113","23055.35573","23398.96083","25596.05072","25736.87342","25489.72137","25936.48762","23261.66458","21658.53183","23007.43478","22053.35006","21355.50774","21009.33512","19575.1965","19242.19108","18871.07118","20450.24138","21931.4159","21811.47133","22619.38655","24077.52629","24648.21623","24551.12647","25646.69991","26412.28115","","",
"Cameroon","CMR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22792.04228","30637.48637","30181.88246","27668.22265","80763.86015","80369.21063","81400.01469","82329.50735","83978.55871","83857.37427","86000.34183","84779.88044","84581.43405","86015.55196","84204.96006","85410.52577","84322.52314","84891.85811","84798.27269","84806.95146","84904.12823","84494.81439","84908.66524","86705.138","88018.74226","89900.98421","91280.78223","90654.59205","91747.67378","92152.5733","93348.64392","","",
