day_index,observed,n_readings,n_sessions,mean_systolic_mmHg,mean_diastolic_mmHg,mean_pulse_pressure_mmHg,mean_bpm
0,1,2,1,128.5,83.0,45.5,95.5
1,1,7,5,118.14285714,78.85714286,39.28571429,102.71428571
2,1,2,2,116.5,75.5,41.0,102.5
3,0,0,0,,,,
4,1,3,1,126.0,80.0,46.0,90.33333333
5,1,4,3,122.75,80.0,42.75,97.25
6,1,6,4,122.0,84.0,38.0,103.5
7,1,3,3,122.0,82.0,40.0,91.0
8,1,3,2,124.33333333,79.66666667,44.66666667,98.33333333
9,0,0,0,,,,
10,0,0,0,,,,
11,0,0,0,,,,
12,0,0,0,,,,
13,0,0,0,,,,
14,0,0,0,,,,
15,0,0,0,,,,
16,0,0,0,,,,
17,0,0,0,,,,
18,0,0,0,,,,
19,0,0,0,,,,
20,0,0,0,,,,
21,0,0,0,,,,
22,0,0,0,,,,
23,0,0,0,,,,
24,0,0,0,,,,
25,0,0,0,,,,
26,0,0,0,,,,
27,0,0,0,,,,
28,0,0,0,,,,
29,0,0,0,,,,
30,0,0,0,,,,
31,0,0,0,,,,
32,0,0,0,,,,
33,0,0,0,,,,
34,0,0,0,,,,
35,0,0,0,,,,
36,0,0,0,,,,
37,0,0,0,,,,
38,0,0,0,,,,
39,0,0,0,,,,
40,0,0,0,,,,
41,1,2,2,113.5,76.0,37.5,96.0
42,0,0,0,,,,
43,0,0,0,,,,
44,1,3,3,119.0,79.33333333,39.66666667,92.66666667
45,1,1,1,115.0,70.0,45.0,95.0
46,1,2,2,124.0,78.5,45.5,91.0
47,1,2,2,119.5,80.0,39.5,93.0
48,1,1,1,122.0,80.0,42.0,89.0
49,1,2,2,121.5,80.0,41.5,93.5
50,1,6,4,115.0,78.33333333,36.66666667,92.33333333
51,1,3,3,111.33333333,76.66666667,34.66666667,95.0
52,1,3,2,125.0,75.33333333,49.66666667,99.33333333
53,0,0,0,,,,
54,0,0,0,,,,
55,1,6,4,113.16666667,75.83333333,37.33333333,92.83333333
56,1,14,5,111.5,69.64285714,41.85714286,89.85714286
57,1,21,8,112.47619048,71.52380952,40.95238095,87.04761905
58,1,17,6,114.0,75.17647059,38.82352941,87.88235294
59,1,11,4,119.54545455,77.09090909,42.45454545,86.63636364
60,0,0,0,,,,
61,0,0,0,,,,
62,1,14,7,112.71428571,75.35714286,37.35714286,97.57142857
63,1,6,2,107.16666667,70.66666667,36.5,91.5
