"Title","HH & NPISH (S.14 + S.15): Real Households' & NPISH disposable income at chained volume measures (reference year 2019)(1):CP:£m:SA"
"CDID","NRJR"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","30-06-2023"
"Next release","29 September 2023"
"Important notes",
"2005 Q4","290001"
"2006 Q1","292005"
"2006 Q2","291104"
"2006 Q3","293688"
"2006 Q4","295510"
"2007 Q1","303409"
"2007 Q2","301544"
"2007 Q3","305751"
"2007 Q4","306159"
"2008 Q1","301499"
"2008 Q2","304834"
"2008 Q3","299233"
"2008 Q4","304152"
"2009 Q1","300744"
"2009 Q2","308384"
"2009 Q3","307773"
"2009 Q4","310806"
"2010 Q1","310149"
"2010 Q2","311197"
"2010 Q3","309656"
"2010 Q4","307947"
"2011 Q1","299477"
"2011 Q2","304046"
"2011 Q3","303715"
"2011 Q4","302161"
"2012 Q1","307743"
"2012 Q2","309942"
"2012 Q3","310460"
"2012 Q4","309127"
"2013 Q1","306998"
"2013 Q2","313566"
"2013 Q3","320246"
"2013 Q4","322666"
"2014 Q1","321768"
"2014 Q2","323219"
"2014 Q3","323035"
"2014 Q4","326364"
"2015 Q1","334106"
"2015 Q2","341700"
"2015 Q3","350818"
"2015 Q4","348669"
"2016 Q1","347897"
"2016 Q2","348268"
"2016 Q3","345978"
"2016 Q4","342076"
"2017 Q1","342771"
"2017 Q2","351504"
"2017 Q3","352186"
"2017 Q4","352330"
"2018 Q1","356398"
"2018 Q2","355799"
"2018 Q3","357855"
"2018 Q4","362329"
"2019 Q1","361096"
"2019 Q2","366935"
"2019 Q3","366845"
"2019 Q4","367404"
"2020 Q1","361400"
"2020 Q2","354718"
"2020 Q3","363668"
"2020 Q4","363789"
"2021 Q1","364392"
"2021 Q2","365764"
"2021 Q3","366206"
"2021 Q4","364442"
"2022 Q1","361785"
"2022 Q2","358446"
"2022 Q3","358310"
"2022 Q4","362869"
"2023 Q1","360224"
